Smiles,pChEMBL Value
CCCSc1nnc(-c2ccccc2)n1C,3.74
Cc1ccc(CNCC2(F)CCN(C(=O)c3cc(Br)cs3)CC2)nc1,4
COc1ccccc1N1CCC2(CCNCC2)CC1,4
Cl.NCCc1ccc(O)c(O)c1,4
Cn1c(SCCCN2CCCCC2)nnc1-c1ccccc1,4.01
O=C(CN1CCN(c2ccccn2)CC1)Nc1cncnc1,4.03
Cc1ccc(C2CCN(CC(=O)Nc3cccc(C)c3)CC2)cc1,4.05
CCc1cccc(NC(=O)CN2CCN(c3ccccn3)CC2)c1,4.05
O=C(CN1CCN(c2ccc(Cl)cn2)CC1)Nc1cccnc1,4.06
Oc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1,4.06
Oc1cccc(C2NCCc3c2[nH]c2ccccc32)c1,4.06
CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12,4.07
Cn1c(SCCCN2CCC3(CC2)CCN(c2ccccn2)CC3)nnc1-c1ccccc1,4.08
Cl.Clc1ccc(N2CCN(CCCCNc3noc(-c4ccccc4)n3)CC2)cc1,4.1
FCCOc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1,4.1
OCc1cccn2ncc(CN3CCN(c4ccc(Cl)cc4)CC3)c12,4.1
Cn1c(SCCCN2CCNCC2)nnc1-c1ccccc1,4.13
Cc1ccc(CNCC2(F)CCN(C(=O)c3cc(Br)cs3)CC2)nc1,4.14
O=C(CN1CCN(c2ccc(Cl)cn2)CC1)Nc1cncnc1,4.14
C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1C[C@@H]1C[C@H]1CCNC(=O)c1cc2ccccc2[nH]1,4.15
CCc1cccc(NC(=O)CN2CCN(c3ccc(Cl)cn3)CC2)c1,4.15
Cc1ccc(C2CCN(CC(=O)Nc3cccc(C)c3)CC2)nc1,4.15
Cc1cccc(NC(=O)CN2CCC(c3ccc(Cl)cc3)CC2)c1,4.15
COc1cccc(CCc2ccccc2OCCCCN2CCN(c3ccccc3OC)CC2)c1,4.17
Cc1cccc(NC(=O)CN2CCN(c3cccc4ccccc34)CC2)c1,4.17
CCc1cccc(NC(=O)CN2CCC(c3ccccn3)CC2)c1,4.17
Fc1ccc(N2CCN(Cc3cn4ccncc4n3)CC2)cc1,4.17
Clc1ccc(N2CCN(Cc3cccc4ccnn34)CC2)cc1,4.17
